Topic no.,Topic description,Number of reviews,Example reviews
0,Mentions product,9720,"Reliable seller, ok product and delivery before the deadline.
great seller arrived before the deadline, I loved the product
Very good quality product, arrived before the promised deadline"
1,Unsatisfied (mostly about delivery),1439,"I WOULD LIKE TO KNOW WHAT HAS BEEN, I ALWAYS RECEIVED AND THIS PURCHASE NOW HAS DISCUSSED
Terrible
I would like to know when my product will arrive? Since the delivery date has passed, I would like an answer, I am waiting!"
2,Short positive message,2270,"Store note 10
OK I RECOMMEND
OK"
3,"Short positive message, but about the product only",1379,"Excellent quality product
Excellent product.
very good, I recommend the product."
4,Non-coherent topic,6339,"I got exactly what I expected. Other orders from other sellers were delayed, but this one arrived on time.
I bought the watch, unisex and sent a women&#39;s watch, much smaller than the specifications of the ad.
so far I haven&#39;t received the product."
5,Positive message but longer than topic 2,1194,"Wonderful
super recommend the product which is very good!
Everything as advertised .... Great product ..."
6,"Problems with delivery - wrong products, too many/too little things in package",2892,"I bought two units and only received one and now what do I do?
I bought three packs of five sheets each of transfer paper for dark tissue and received only two
The delivery was split in two. There was no statement from the store. I came to think that they had only shipped part of the product."
7,Good comments about particular seller,4839,"Congratulations lannister stores loved shopping online safe and practical Congratulations to all happy Easter
I recommend the seller ...
congratulations station ... always arrives with a lot of antecedence .. Thank you very much ...."
8,"Short message, mostly about quality of the product",3808,"But a little, braking ... for the value ta Boa.
Very good. very fragrant.
I loved it, beautiful, very delicate"
9,non-coherent,1275,"The purchase was made easily. The delivery was made well before the given deadline. The product has already started to be used and to date, without problems.
I hope it lasts because it is made of fur.
I asked for a refund and no response so far"
10,"Short message, lots of times wrong spelling/random letters",15,"vbvbsgfbsbfs
I recommend ... mayor;
Ksksksk"
11,non-coherent,2614,"I always buy over the Internet and delivery takes place before the agreed deadline, which I believe is the maximum period. At stark, the maximum term has expired and I have not yet received the product.
Great store for partnership: very fast, well packaged and quality products! Only the cost of shipping that was a little sour.
I DID NOT RECEIVE THE PRODUCT AND IS IN THE SYSTEM I RECEIVED BEYOND PAYING EXPENSIVE SHIPPING"
12,Praises about the product,2003,"very beautiful and cheap watch.
Good product, but what came to me does not match the photo in the ad.
Beautiful watch I loved it"
13,Short positive message about the delivery,1788,"On-time delivery
It took too long for delivery
super fast delivery .... arrived before the date ..."
